Record_Nr;Pipe_description;Code_ASME;Code_Y;codeTol;T_37.8°C;T_93.3°C;T_148.9°C;T_204.4°C;T_260.0°C;T_315.6°C;T_343.3°C;T_371.1°C;T_398.9°C;T_426.7°C;T_454.4°C;T_482.2°C;T_510.0°C;T_537.8°C;T_565.6°C;T_593.3°C;T_621.1°C;T_648.9°C;T_676.7°C;T_704.4°C;T_732.2°C;T_760.0°C;T_787.8°C;T_815.6°C
33;EFW -ASTM A672 Gr.A55 Cl.12+TB 5451 (E=0.9);B31.3-2002;1;5;113.56;113.56;109.83;106.73;100.53;91.84;89.98;89.36;75.08;63.29;52.12;40.33;27.92;15.51;9.93;6.21;;;;;;;;
34;EFW -ASTM A672 Gr.B55 Cl.12+TB 5451 (E=0.9);B31.3-2002;1;5;113.56;113.56;109.83;106.73;100.53;91.84;89.98;89.36;75.08;63.29;52.12;40.33;27.92;15.51;9.93;6.21;;;;;;;;
35;EFW -ASTM A672 Gr.B60 Cl.12+TB 5451 (E=0.9);B31.3-2002;1;5;124.11;121.0;117.28;113.56;107.35;98.04;96.18;95.56;80.67;67.02;53.99;40.33;27.92;15.51;9.93;6.21;;;;;;;;
36;EFW -ASTM A672 Gr.C55 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;113.56;113.56;109.83;106.73;100.53;91.84;89.98;89.36;75.08;63.29;52.12;40.33;27.92;15.51;9.93;6.21;;;;;;;;
37;EFW -ASTM A672 Gr.A50 Cl.13 (E=0.85);B31.3-2002;1;5;97.87;96.11;93.77;90.25;85.56;77.95;76.77;76.19;65.64;56.26;47.47;38.09;26.37;14.65;9.38;5.86;;;;;;;;
38;EFW -ASTM A672 Gr.A55 Cl.13 (E=0.85);B31.3-2002;1;5;107.25;107.25;103.73;100.8;94.94;86.74;84.98;84.39;70.91;59.78;49.23;38.09;26.37;14.65;9.38;5.86;;;;;;;;
39;EFW -ASTM A672 Gr.B55 Cl.13 (E=0.85);B31.3-2002;1;5;107.25;107.25;103.73;100.8;94.94;86.74;84.98;84.39;70.91;59.78;49.23;38.09;26.37;14.65;9.38;5.86;;;;;;;;
40;EFW -ASTM A672 Gr.B60 Cl.13 (E=0.85);B31.3-2002;1;5;117.21;114.28;110.76;107.25;101.39;92.6;90.84;90.25;76.19;63.29;50.99;38.09;26.37;14.65;9.38;5.86;;;;;;;;
41;EFW -ASTM A672 Gr.C55 Cl.13 (E=0.85);B31.3-2002;1;5;107.25;107.25;103.73;100.8;94.94;86.74;84.98;84.39;70.91;59.78;49.23;38.09;26.37;14.65;9.38;5.86;;;;;;;;
42;EFW (SAW)-API 5L Gr.B   (E=0.95);B31.3-2002;1;1;131.0;131.0;131.0;131.0;123.8;113.32;111.35;108.08;85.15;70.74;56.99;42.58;29.48;16.38;10.48;6.55;;;;;;;;
43;EFW (SAW)-API 5L Gr.X42 (E=0.95);B31.3-2002;1;3;131.0;131.0;131.0;131.0;;;;;;;;;;;;;;;;;;;;
44;EFW (SAW)-API 5L  Gr.X46 (E=0.95);B31.3-2002;1;3;137.55;137.55;137.55;137.55;;;;;;;;;;;;;;;;;;;;
45;EFW (SAW)-API 5L  Gr.X52 (E=0.95)-T.S. 66 ksi;B31.3-2002;1;3;144.1;144.1;144.1;144.1;;;;;;;;;;;;;;;;;;;;
47;SMLS-ASTM A333 Gr.3 (3.5 Ni);B31.3-2002;1;1;149.62;135.14;135.14;128.93;122.73;115.83;112.38;106.87;95.84;78.6;62.05;44.82;31.03;17.24;11.03;6.89;;;;;;;;
48;SMLS-ASTM A333 Gr.8 (9 Ni);B31.3-2002;1;1;218.56;218.56;;;;;;;;;;;;;;;;;;;;;;
49;SMLS-ASTM A335 Gr.P1 (C-0.5Mo);B31.3-2002;1;1;126.17;126.17;120.66;116.52;112.38;108.25;106.18;104.11;95.15;93.08;91.01;87.56;56.54;33.09;27.58;16.55;;;;;;;;
50;SMLS-ASTM A335 Gr.P5 (5Cr-0.5Mo);B31.3-2002;1;1;137.9;124.8;119.97;118.59;117.9;115.83;114.45;112.38;91.01;88.25;83.43;75.15;55.16;39.99;28.96;19.99;12.41;6.89;;;;;;
51;SMLS-ASTM A335 Gr.P9 (9Cr-1Mo);B31.3-2002;1;1;137.9;124.8;119.97;118.59;117.9;115.83;114.45;112.38;91.01;88.25;83.43;78.6;73.08;51.02;34.47;22.75;15.17;10.34;;;;;;
52;SMLS-ASTM A335 Gr.P11 (1.25Cr-0.5Mo);B31.3-2002;1;1;137.9;128.93;124.11;120.66;118.59;115.14;111.7;107.56;104.8;103.42;99.97;88.25;64.12;43.44;28.96;19.31;13.1;8.27;;;;;;
53;SMLS-ASTM A335 Gr.P12 (1Cr-0.5Mo);B31.3-2002;1;1;137.9;128.93;124.11;120.66;118.59;115.14;111.7;107.56;104.8;103.42;99.97;88.25;77.91;49.64;31.03;19.31;12.41;7.58;;;;;;
54;SMLS-ASTM A335 Gr.P22 (2.25Cr-1Mo);B31.3-2002;1;1;137.9;127.55;124.11;123.42;123.42;123.42;123.42;123.42;123.42;122.73;99.97;88.25;74.46;53.78;35.16;22.06;13.79;11.03;;;;;;
55;EFW -ASTM A671 Gr.CF71 Cl.22 (3.5Ni) (E=1);B31.3-2002;1;5;160.65;;;;;;;;;;;;;;;;;;;;;;;
56;EFW -ASTM A691 Gr.CM70 Cl.13 (E=0.85);B31.3-2002;1;5;136.55;136.55;136.55;131.86;127.17;122.49;120.14;117.8;102.56;102.56;100.22;80.29;48.06;28.13;23.44;14.07;;;;;;;;
