Record_Nr;Pipe_description;Code_ASME;Code_Y;codeTol;TempF;AllowPsi
14;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(< 5"" O.D.)";B31.3-2002;2;4;400;14800
14;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(< 5"" O.D.)";B31.3-2002;2;4;500;14800
14;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(< 5"" O.D.)";B31.3-2002;2;4;600;14800
14;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(< 5"" O.D.)";B31.3-2002;2;4;650;14800
14;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(< 5"" O.D.)";B31.3-2002;2;4;700;14800
14;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(< 5"" O.D.)";B31.3-2002;2;4;750;14600
14;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(< 5"" O.D.)";B31.3-2002;2;4;800;14200
14;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(< 5"" O.D.)";B31.3-2002;2;4;850;11000
14;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(< 5"" O.D.)";B31.3-2002;2;4;900;8000
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;100;15555
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;200;15555
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;300;15045
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;400;14620
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;500;13770
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;600;12580
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;650;12325
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;700;12240
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;750;10200
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;800;8670
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;850;7055
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;900;5525
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;950;3825
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;1000;2125
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;1050;1360
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;1100;850
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;100;17000
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;200;17000
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;300;17000
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;400;17000
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;500;16065
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;600;14705
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;650;14450
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;700;14025
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;750;11050
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;800;9180
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;850;7395
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;900;5525
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;950;3825
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;1000;2125
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;1050;1360
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1;1100;850
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;100;17000
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;200;17000
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;300;17000
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;400;17000
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;500;16065
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;600;14705
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;650;14450
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;700;14025
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;750;11050
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;800;9180
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;850;7395
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;900;5525
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;950;3825
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;1000;2125
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;1050;1360
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1;1100;850
18;ERW -API 5L  Gr.X42 (E=0.85);B31.3-2002;1;3;100;17000
18;ERW -API 5L  Gr.X42 (E=0.85);B31.3-2002;1;3;200;17000
18;ERW -API 5L  Gr.X42 (E=0.85);B31.3-2002;1;3;300;17000
18;ERW -API 5L  Gr.X42 (E=0.85);B31.3-2002;1;3;400;17000
19;ERW -API 5L  Gr.X46 (E=0.85);B31.3-2002;1;3;100;17850
19;ERW -API 5L  Gr.X46 (E=0.85);B31.3-2002;1;3;200;17850
19;ERW -API 5L  Gr.X46 (E=0.85);B31.3-2002;1;3;300;17850
19;ERW -API 5L  Gr.X46 (E=0.85);B31.3-2002;1;3;400;17850
20;ERW -API 5L  Gr.X52 (E=0.85)- T.S. 66 ksi;B31.3-2002;1;3;100;18700
20;ERW -API 5L  Gr.X52 (E=0.85)- T.S. 66 ksi;B31.3-2002;1;3;200;18700
20;ERW -API 5L  Gr.X52 (E=0.85)- T.S. 66 ksi;B31.3-2002;1;3;300;18700
20;ERW -API 5L  Gr.X52 (E=0.85)- T.S. 66 ksi;B31.3-2002;1;3;400;18700
21;;;1;1;;
22;EFW -ASTM A671 Gr.CC60 Cl.22 (E=1);B31.3-2002;1;5;100;20000
