id;TempF;R_150;R_300;R_400;R_600;R_900;R_1500;R_2500;R_4500
56;1300;55;140;190;280;420;705;1170;2110
57;100;0;0;0;1975;0;0;0;0
57;200;0;0;0;1800;0;0;0;0
57;300;0;0;0;1750;0;0;0;0
57;400;0;0;0;1690;0;0;0;0
57;500;0;0;0;1595;0;0;0;0
57;600;0;0;0;1460;0;0;0;0
57;650;0;0;0;1430;0;0;0;0
57;700;0;0;0;1420;0;0;0;0
57;750;0;0;0;1345;0;0;0;0
57;800;0;0;0;1100;0;0;0;0
57;850;0;0;0;715;0;0;0;0
57;900;0;0;0;460;0;0;0;0
57;950;0;0;0;275;0;0;0;0
57;1000;0;0;0;140;0;0;0;0
58;100;0;0;0;2000;0;0;0;0
58;200;0;0;0;2000;0;0;0;0
58;300;0;0;0;1925;0;0;0;0
58;400;0;0;0;1850;0;0;0;0
58;500;0;0;0;1775;0;0;0;0
58;600;0;0;0;1615;0;0;0;0
58;650;0;0;0;1570;0;0;0;0
58;700;0;0;0;1515;0;0;0;0
58;750;0;0;0;1420;0;0;0;0
58;800;0;0;0;1355;0;0;0;0
58;850;0;0;0;1300;0;0;0;0
58;900;0;0;0;1200;0;0;0;0
58;950;0;0;0;850;0;0;0;0
58;1000;0;0;0;575;0;0;0;0
58;1050;0;0;0;385;0;0;0;0
58;1100;0;0;0;255;0;0;0;0
58;1150;0;0;0;165;0;0;0;0
58;1200;0;0;0;100;0;0;0;0
59;100;0;0;0;2000;0;0;0;0
59;200;0;0;0;1985;0;0;0;0
59;300;0;0;0;1910;0;0;0;0
59;400;0;0;0;1880;0;0;0;0
59;500;0;0;0;1775;0;0;0;0
59;600;0;0;0;1615;0;0;0;0
59;650;0;0;0;1570;0;0;0;0
59;700;0;0;0;1515;0;0;0;0
59;750;0;0;0;1410;0;0;0;0
59;800;0;0;0;1355;0;0;0;0
59;850;0;0;0;1290;0;0;0;0
59;900;0;0;0;985;0;0;0;0
59;950;0;0;0;735;0;0;0;0
59;1000;0;0;0;530;0;0;0;0
59;1050;0;0;0;385;0;0;0;0
59;1100;0;0;0;265;0;0;0;0
59;1150;0;0;0;165;0;0;0;0
59;1200;0;0;0;95;0;0;0;0
60;100;0;0;0;1920;0;0;0;0
60;200;0;0;0;1600;0;0;0;0
60;300;0;0;0;1440;0;0;0;0
60;400;0;0;0;1325;0;0;0;0
60;500;0;0;0;1240;0;0;0;0
60;600;0;0;0;1165;0;0;0;0
60;650;0;0;0;1145;0;0;0;0
60;700;0;0;0;1135;0;0;0;0
